title,year,authors,venue,doi,url,abstract,source,queries
A bijective proof of a partition theorem of Berkovich and Uncu,2026,Michal Mogielnicki; Ken Ono; Niels Voss; Jujian Zhang,arXiv,,http://arxiv.org/abs/2608.05142v1,"In 2016, Berkovich and Uncu proved that, for all nonnegative integers $i$, $j$, and $n$, the number of strict partitions of $n$ with $i$ odd-indexed odd parts and $j$ even-indexed odd parts equals the number of strict partitions of $n$ with $i$ parts congruent to $1$ modulo $4$ and $j$ parts congruent to $3$ modulo $4$. Their proof used generating functions, and they asked for a combinatorial proof. We answer their question with an explicit bijection, assembled from three classical ingredients: $2$-modular diagrams, an insertion algorithm of Chen, Gao, Ji, and Li, and Glaisher's bijection. AxiomProver autonomously formalized and verified the proof of the main theorem in Lean.",arxiv,LLM SLURM job script generation | LLM Apptainer Singularity definition file generation | LLM Dockerfile generation build success benchmark | HPC LLM code generation benchmark | retrieval augmented generation HPC documentation
A central limit theorem for the random assignment problem,2026,Gilles Mordant,arXiv,,http://arxiv.org/abs/2608.05123v1,"Let \(C_n\) be the minimum cost of a perfect matching in an \(n\times n\) matrix of independent uniform random variables. We prove that \[ \sqrt n\{C_n-ζ(2)\} \ \Longrightarrow\ \mathcal N\bigl(0,4ζ(2)-4ζ(3)\bigr). \] The proof begins with an exact change of variables based on a uniformly rooted shortest-path selection of an optimal dual potential. After the unused reduced costs are integrated out, a reference law separates the rows conditionally on the potential field, while the ordered potential gaps become independent exponentials. The only residual dependence is a directed-tree factor. Ordering the potentials turns its zero--one support into a Ferrers matrix, whose matrix-tree determinant is triangular. A singular inverse-degree estimate and exact normalization then yield total-variation convergence to the reference law. Finally, a conditional triangular-array central limit theorem accounts for row noise, and a second triangular array accounts for the linear response of the potential field. The strategy used here is likely to be applicable to other problems.",arxiv,LLM HPC user support assistant evaluation | LLM Apptainer Singularity definition file generation | LLM root cause analysis HPC job failure
A Chain Is Only as Strong as Its Weakest Link: A Scoping Review of System Integration Audits in AI,2026,Leah Davis; Dominic Martin; AJung Moon,arXiv,,http://arxiv.org/abs/2608.04921v1,"As AI systems become increasingly integrated into diverse interfaces and applications, model-centric audits are insufficient to address risks arising from interactions among system components and deployment environments. System integration has long been central to software audits in safety-critical domains such as aerospace. However, its role in AI auditing remains underexplored. Scanning through 4,259 documents, we present a scoping review of AI audits that treat system integration as a core tenet of evaluation (n = 58). Using reflexive thematic analysis, we analyze their elements, actors, enablers, and constraints. We find that the corpus represents an emerging yet still fragmented form of AI auditing: few existing measures target integration-specific risks; large gaps remain in meeting traditional audit expectations; and access to necessary information and resources significantly influences audit design. Nonetheless, integration can be categorized across three sites (inter-component, system-environment, and multi-system), each serving the functions of risk exploration, risk determination, coordination, and procedural regularity. Deviating from other types of evaluations, these a",arxiv,supercomputer job failure diagnosis dataset
A Clinical SKOS Ontology and Evaluation Benchmark for LLM Query Generation over ICU Knowledge Graphs,2026,Khurrum Ali,Proceedings of the Language Resources and Evaluation Conference,10.63317/4ph5haswh86k,https://doi.org/10.63317/4ph5haswh86k,,crossref,LLM Dockerfile generation build success benchmark | HPC LLM code generation benchmark
A Comparative Study on LLM-enabled HPC User Support,2026,Mingkai Zheng; Fangru Linghu; Sikan Li; Marty Charles Kandes; Niall Gaffney,Proceedings of the Practice and Experience in Advanced Research Computing 2026: Resilient Roots + Empowered Communities,10.1145/3785462.3815796,https://doi.org/10.1145/3785462.3815796,,crossref,LLM HPC user support assistant evaluation
A fractional quantum Hall factory on quantum processors: constant-depth preparation of clustered non-Abelian states,2026,Cheng Xu; Ching Hua Lee; Hong-Hao Tu; Yang Zhang,arXiv,,http://arxiv.org/abs/2608.05140v1,"Non-Abelian anyons arise as exotic excitations in fractional quantum Hall (FQH) matter and have proved very elusive to realize in conventional platforms. In this work, we show that on a programmable quantum hardware platform, the more exotic FQH excitations are the less costly ones to prepare: clustered non-Abelian FQH states admit parallel quantum preparation circuits whose two-qubit depth is independent of system size, while constructing the more common Abelian Laughlin state requires a sequential circuit chain with linear depth. The centerpiece of this work is our new systematic framework for cataloging possible FQH states and preparing them on quantum circuits at unprecedented scale and variety. Our prepared parafermionic Read--Rezayi $\mathbb{Z}_3$ state holds depth 3 from 8 to 118 qubits, and full root sampling extends to a 154-qubit, 104-electron Read--Rezayi $\mathbb{Z}_4$ state. In all, our demonstrated 18-family catalog of prepared FQH states extends to all 156 qubits of an IBM Heron processor, limited only by existing hardware scale. Measurements on the prepared states recover the expected fractional quasihole charges, with the charge estimator exact in every symmetry-se",arxiv,LLM root cause analysis HPC job failure
A Knowledge-Based Book Recommender through Enhanced Retrieval-Augmented Generation,2026,Vlada Khomenko; Christoph Schommer; Salima Lamsiyah,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014480000004052,https://doi.org/10.5220/0014480000004052,,crossref,retrieval augmented generation HPC documentation
A Pipeline to Bootstrap the Evaluation of Retrieval-Augmented Generation for the Automation of Systematic Reviews in Computer Science,2026,Pierre Achkar; Tim Gollub; Arno Simons; Harrisen Scells; Maik Fröbe,Proceedings of the 1st Workshop on Multilingual Report Generation via Retrieval Augmented Generation (RAG4Reports 2026),10.18653/v1/2026.rag4reports-1.8,https://doi.org/10.18653/v1/2026.rag4reports-1.8,,crossref,retrieval augmented generation HPC documentation
A point-free theory of quantitative homogenization,2026,Thuyen Dang; Yuliya Gorb; Silvia Jiménez Bolaños,arXiv,,http://arxiv.org/abs/2608.05077v1,"We introduce a purely operator-theoretic framework for quantitative homogenization that bypasses the traditional reliance on large-scale spatial regularity and probabilistic assumptions. Inspired by Tartar's vision of a point-free theory, we derive explicit norm resolvent estimates using only the algebraic structure of multiscale operators and the abstract geometry of Hilbert spaces. In this framework, the effective macroscopic dynamics and the abstract corrector emerge naturally from an orthogonal decomposition of the state space, governed algebraically by a Schur complement. To quantify the convergence rate, we introduce a frequency-splitting technique and solve a generalized Sylvester equation that controls the commutator between the differential structure and the highly oscillatory material properties. This abstract perspective unifies stationary, non-stationary, periodic, quasi-periodic, and stochastic homogenization. We demonstrate that the physical distinctions between these media--and their respective convergence rates--are entirely captured by the behavior of the spectral measure of the microscopic derivative operator near zero frequency.",arxiv,LLM root cause analysis HPC job failure
A Research Roadmap for Augmenting Software Engineering Processes and Software Products with Generative AI,2026,Domenico Amalfitano; Andreas Metzger; Marco Autili; Tommaso Fulcini; Tobias Hey,ACM Transactions on Software Engineering and Methodology,10.1145/3788879,https://openalex.org/W7126151786,"Generative AI (GenAI) is rapidly transforming software engineering (SE) practices, influencing how SE processes are executed, as well as how software systems are developed, operated, and evolved. This paper applies design science research to build a roadmap for GenAI-augmented SE. The process consists of three cycles that incrementally integrate multiple sources of evidence, including collaborative discussions from the FSE 2025 “Software Engineering 2030” workshop, rapid literature reviews, and external feedback sessions involving peers. McLuhan’s tetrads were used as a conceptual instrument to systematically capture the transforming effects of GenAI on SE processes and software products. The resulting roadmap identifies four fundamental forms of GenAI augmentation in SE and systematically characterizes their related research challenges and opportunities. These insights are then consolidated into a set of future research directions. By grounding the roadmap in a rigorous multi-cycle process and cross-validating it among independent author teams and peers, the study provides a transparent and reproducible foundation for analyzing how GenAI affects SE processes, methods and tools, an",openalex,retrieval augmented generation HPC documentation
